Method,fs specification,Learner g,Learner m,level,Coverage,CI Length,Bias,repetition
rdflex,interacted cutoff and score,LGBM,Linear,0.95,0.9861751152073732,2.622325590158423,0.5200782983421628,217
rdflex,interacted cutoff and score,LGBM,Stacked,0.9,0.9447004608294931,2.1227818697923357,0.5218518789429258,217
rdflex,interacted cutoff and score,LGBM,Stacked,0.95,0.9861751152073732,2.5294506110787944,0.5218518789429258,217
rdflex,interacted cutoff and score,Linear,Global linear,0.9,0.9354838709677419,10.657072530462933,2.593366205487597,217
rdflex,interacted cutoff and score,Linear,Global linear,0.95,0.9769585253456221,12.698685158417886,2.593366205487597,217
rdflex,interacted cutoff and score,Linear,LGBM,0.9,0.9493087557603687,11.068194677806918,2.7231769098877674,217
rdflex,interacted cutoff and score,Linear,LGBM,0.95,0.9815668202764977,13.188567412278005,2.7231769098877674,217
rdflex,interacted cutoff and score,Linear,Linear,0.9,0.9493087557603687,10.781824916954825,2.5998320818843763,217
rdflex,interacted cutoff and score,Linear,Linear,0.95,0.9769585253456221,12.84733679556246,2.5998320818843763,217
rdflex,interacted cutoff and score,Linear,Stacked,0.9,0.9308755760368663,10.722097142696528,2.629453491505645,217
rdflex,interacted cutoff and score,Linear,Stacked,0.95,0.9723502304147466,12.776166762858722,2.629453491505645,217
rdflex,interacted cutoff and score,Stacked,Global linear,0.9,0.9262672811059908,2.221534751731562,0.5280156336189346,217
rdflex,interacted cutoff and score,Stacked,Global linear,0.95,0.9723502304147466,2.6471219277230262,0.5280156336189346,217
rdflex,interacted cutoff and score,Stacked,LGBM,0.9,0.9354838709677419,2.2060249161432406,0.5123565780902024,217
rdflex,interacted cutoff and score,Stacked,LGBM,0.95,0.9769585253456221,2.628640818728794,0.5123565780902024,217
rdflex,interacted cutoff and score,Stacked,Linear,0.9,0.9170506912442397,2.233651966968553,0.5127537329541749,217
rdflex,interacted cutoff and score,Stacked,Linear,0.95,0.9631336405529954,2.661560480229025,0.5127537329541749,217
rdflex,interacted cutoff and score,Stacked,Stacked,0.9,0.9493087557603687,2.1771996965046916,0.483474011438838,217
rdflex,interacted cutoff and score,Stacked,Stacked,0.95,0.9861751152073732,2.5942934510285314,0.483474011438838,217
rdrobust,cutoff,linear,linear,0.9,0.9400921658986175,10.369568348646983,2.5231347493834924,217
rdrobust,cutoff,linear,linear,0.95,0.9723502304147466,12.356102795749967,2.5231347493834924,217
